"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80824,+11,3189.0,13.0,65573.0,12062,3610.0,56.2
Italy,17660,0,1266.0,0.0,1439.0,14955,1328.0,292.1
Iran,12729,"+1,365",611.0,97.0,4339.0,7779,0.0,151.5
S. Korea,8086,+107,72.0,5.0,714.0,7300,59.0,157.7
Spain,6023,+791,191.0,58.0,517.0,5315,272.0,128.8
Germany,3953,+278,8.0,0.0,46.0,3899,9.0,47.2
France,3661,0,79.0,0.0,12.0,3570,154.0,56.1
USA,2340,+93,51.0,2.0,49.0,2240,10.0,7.1
Switzerland,1375,+236,13.0,2.0,4.0,1358,0.0,158.9
UK,1140,+342,21.0,10.0,18.0,1101,20.0,16.8
Norway,1035,+39,1.0,0.0,1.0,1033,27.0,190.9
Netherlands,959,+155,12.0,2.0,2.0,945,45.0,56.0
Sweden,948,+134,2.0,1.0,1.0,945,2.0,93.9
Denmark,827,+23,0.0,0.0,1.0,826,2.0,142.8
Japan,788,+54,22.0,1.0,122.0,644,32.0,6.2
Diamond Princess,696,0,7.0,0.0,325.0,364,32.0,0.0
Belgium,689,+130,4.0,1.0,1.0,684,24.0,59.4
Austria,655,+151,1.0,0.0,6.0,648,1.0,72.7
Qatar,337,+17,0.0,0.0,0.0,337,0.0,117.0
Australia,248,+49,3.0,0.0,27.0,218,1.0,9.7
Malaysia,238,+41,0.0,0.0,35.0,203,4.0,7.4
Finland,215,+60,0.0,0.0,1.0,214,0.0,38.8
Bahrain,211,+1,0.0,0.0,60.0,151,1.0,124.0
Canada,200,+2,1.0,0.0,11.0,188,1.0,5.3
Singapore,200,0,0.0,0.0,97.0,103,11.0,34.2
Greece,190,0,3.0,2.0,2.0,185,2.0,18.2
Slovenia,181,+40,0.0,0.0,0.0,181,4.0,87.1
Portugal,169,+57,0.0,0.0,2.0,167,10.0,16.6
Israel,164,+21,0.0,0.0,4.0,160,3.0,18.9
Iceland,156,+22,0.0,0.0,0.0,156,0.0,0.0
Brazil,151,0,0.0,0.0,1.0,150,2.0,0.7
Czechia,150,+9,0.0,0.0,0.0,150,2.0,14.0
Hong Kong,138,+6,4.0,0.0,78.0,56,4.0,18.4
Philippines,111,+47,8.0,3.0,2.0,101,1.0,1.0
Estonia,109,+30,0.0,0.0,0.0,109,0.0,82.2
Kuwait,104,+4,0.0,0.0,5.0,99,4.0,24.4
Romania,102,+7,0.0,0.0,6.0,96,1.0,5.3
Iraq,101,0,10.0,1.0,24.0,67,0.0,2.5
San Marino,101,+21,5.0,0.0,4.0,92,3.0,0.0
Indonesia,96,+27,5.0,1.0,8.0,83,0.0,0.4
Lebanon,93,+16,3.0,0.0,1.0,89,3.0,13.6
Egypt,93,0,2.0,0.0,27.0,64,0.0,0.9
Poland,93,+25,2.0,0.0,0.0,91,3.0,2.5
Ireland,90,0,1.0,0.0,0.0,89,6.0,18.2
Saudi Arabia,86,0,0.0,0.0,1.0,85,0.0,2.5
UAE,85,0,0.0,0.0,20.0,65,2.0,8.6
India,84,+2,2.0,0.0,10.0,72,0.0,0.1
Thailand,82,+7,1.0,0.0,35.0,46,1.0,1.2
Taiwan,53,+3,1.0,0.0,20.0,32,0.0,2.2
Vietnam,53,+9,0.0,0.0,16.0,37,0.0,0.5
Luxembourg,51,+13,1.0,0.0,0.0,50,0.0,0.0
Russia,47,+2,0.0,0.0,8.0,39,0.0,0.3
Chile,43,0,0.0,0.0,0.0,43,0.0,2.2
Serbia,41,+6,0.0,0.0,0.0,41,1.0,4.7
Albania,38,+5,1.0,0.0,0.0,37,2.0,13.2
Peru,38,0,0.0,0.0,0.0,38,0.0,1.2
Algeria,37,+11,3.0,1.0,10.0,24,0.0,0.8
Croatia,37,+5,0.0,0.0,1.0,36,0.0,9.0
Brunei,37,0,0.0,0.0,0.0,37,0.0,0.0
Panama,36,+9,1.0,0.0,0.0,35,0.0,8.3
Palestine,35,0,0.0,0.0,0.0,35,0.0,6.9
Argentina,34,0,2.0,0.0,0.0,32,1.0,0.8
Slovakia,32,0,0.0,0.0,0.0,32,0.0,5.9
Bulgaria,31,0,2.0,1.0,0.0,29,0.0,4.5
Pakistan,31,+3,0.0,0.0,2.0,29,0.0,0.1
Georgia,30,+5,0.0,0.0,0.0,30,1.0,7.5
Belarus,27,0,0.0,0.0,3.0,24,0.0,2.9
Latvia,26,+9,0.0,0.0,1.0,25,0.0,13.8
Mexico,26,+11,0.0,0.0,4.0,22,1.0,0.2
Costa Rica,26,+3,0.0,0.0,0.0,26,1.0,5.1
Hungary,25,+6,0.0,0.0,1.0,24,0.0,2.6
South Africa,24,0,0.0,0.0,0.0,24,0.0,0.4
Ecuador,23,0,1.0,0.0,0.0,22,1.0,1.3
Colombia,22,+6,0.0,0.0,0.0,22,0.0,0.4
Senegal,21,0,0.0,0.0,2.0,19,0.0,1.3
Cyprus,21,+7,0.0,0.0,0.0,21,0.0,17.4
Oman,19,0,0.0,0.0,9.0,10,0.0,3.7
Bosnia and Herzegovina,18,0,0.0,0.0,0.0,18,0.0,5.5
Malta,18,+6,0.0,0.0,1.0,17,0.0,0.0
Morocco,17,+10,1.0,0.0,1.0,15,1.0,0.5
Tunisia,16,0,0.0,0.0,0.0,16,2.0,1.4
Azerbaijan,15,0,1.0,0.0,3.0,11,0.0,1.5
Armenia,15,+7,0.0,0.0,0.0,15,0.0,5.1
North Macedonia,13,0,0.0,0.0,1.0,12,0.0,6.2
Dominican Republic,11,+6,0.0,0.0,0.0,11,0.0,1.0
Afghanistan,10,+3,0.0,0.0,0.0,10,0.0,0.3
Macao,10,0,0.0,0.0,10.0,0,0.0,0.0
Bolivia,10,0,0.0,0.0,0.0,10,0.0,0.9
Maldives,10,+1,0.0,0.0,0.0,10,0.0,0.0
Sri Lanka,9,+3,0.0,0.0,1.0,8,0.0,0.4
Faeroe Islands,9,+6,0.0,0.0,0.0,9,0.0,0.0
Lithuania,8,+2,0.0,0.0,0.0,8,0.0,2.9
Jamaica,8,0,0.0,0.0,0.0,8,0.0,2.7
Cambodia,7,0,0.0,0.0,1.0,6,0.0,0.4
Paraguay,7,+1,0.0,0.0,0.0,7,1.0,1.0
New Zealand,6,0,0.0,0.0,0.0,6,0.0,1.2
French Guiana,6,0,0.0,0.0,0.0,6,0.0,0.0
Kazakhstan,6,+2,0.0,0.0,0.0,6,0.0,0.3
Martinique,6,+3,0.0,0.0,0.0,6,0.0,0.0
Moldova,6,0,0.0,0.0,0.0,6,0.0,1.5
Réunion,5,0,0.0,0.0,0.0,5,0.0,0.0
Turkey,5,0,0.0,0.0,0.0,5,0.0,0.1
Cuba,4,0,0.0,0.0,0.0,4,0.0,0.4
Liechtenstein,4,0,0.0,0.0,0.0,4,0.0,0.0
Uruguay,4,0,0.0,0.0,0.0,4,0.0,1.2
Ukraine,3,0,1.0,0.0,0.0,2,0.0,0.1
Bangladesh,3,0,0.0,0.0,2.0,1,0.0,0.0
Channel Islands,3,0,0.0,0.0,0.0,3,0.0,0.0
French Polynesia,3,0,0.0,0.0,0.0,3,0.0,0.0
Puerto Rico,3,0,0.0,0.0,0.0,3,0.0,1.0
Monaco,2,0,0.0,0.0,0.0,2,0.0,0.0
Nigeria,2,0,0.0,0.0,0.0,2,0.0,0.0
Aruba,2,0,0.0,0.0,0.0,2,0.0,0.0
Burkina Faso,2,0,0.0,0.0,0.0,2,0.0,0.1
Cameroon,2,0,0.0,0.0,0.0,2,0.0,0.1
DRC,2,0,0.0,0.0,0.0,2,0.0,0.0
Ghana,2,0,0.0,0.0,0.0,2,0.0,0.1
Honduras,2,0,0.0,0.0,0.0,2,0.0,0.2
Namibia,2,+2,0.0,0.0,0.0,2,0.0,0.8
Saint Martin,2,0,0.0,0.0,0.0,2,0.0,0.0
Trinidad and Tobago,2,+1,0.0,0.0,0.0,2,0.0,1.4
Venezuela,2,0,0.0,0.0,0.0,2,0.0,0.1
Guyana,1,0,1.0,0.0,0.0,0,0.0,0.0
Sudan,1,0,1.0,0.0,0.0,0,0.0,0.0
Andorra,1,0,0.0,0.0,0.0,1,0.0,0.0
Jordan,1,0,0.0,0.0,1.0,0,0.0,0.1
Nepal,1,0,0.0,0.0,1.0,0,0.0,0.0
Antigua and Barbuda,1,0,0.0,0.0,0.0,1,0.0,0.0
Bhutan,1,0,0.0,0.0,0.0,1,0.0,0.0
Cayman Islands,1,0,0.0,0.0,0.0,1,0.0,0.0
Ivory Coast,1,0,0.0,0.0,0.0,1,0.0,0.0
Curaçao,1,0,0.0,0.0,0.0,1,0.0,0.0
Ethiopia,1,0,0.0,0.0,0.0,1,0.0,0.0
Gabon,1,0,0.0,0.0,0.0,1,0.0,0.4
Gibraltar,1,0,0.0,0.0,1.0,0,0.0,0.0
Guadeloupe,1,0,0.0,0.0,0.0,1,0.0,0.0
Guatemala,1,0,0.0,0.0,0.0,1,0.0,0.1
Guinea,1,0,0.0,0.0,0.0,1,0.0,0.1
Vatican City,1,0,0.0,0.0,0.0,1,0.0,0.0
Kenya,1,0,0.0,0.0,0.0,1,0.0,0.0
Mauritania,1,0,0.0,0.0,0.0,1,0.0,0.2
Mongolia,1,0,0.0,0.0,0.0,1,0.0,0.3
Rwanda,1,+1,0.0,0.0,0.0,1,0.0,0.1
St. Barth,1,0,0.0,0.0,0.0,1,0.0,0.0
Saint Lucia,1,0,0.0,0.0,0.0,1,0.0,0.0
St. Vincent Grenadines,1,0,0.0,0.0,0.0,1,0.0,0.0
Suriname,1,0,0.0,0.0,0.0,1,0.0,0.0
Eswatini,1,+1,0.0,0.0,0.0,1,0.0,0.9
Togo,1,0,0.0,0.0,0.0,1,0.0,0.1
U.S. Virgin Islands,1,+1,0.0,0.0,0.0,1,0.0,0.0
Total:,150060,4589,5617.0,201.0,73731.0,70712,5708.0,19.3
